term;lda_vector
second;-0.29809,0.28,0.08,0.54,0.70,0.44,-0.72,0.62,6.8863e-04,-0.02,0.25,-0.55,-1.09,0.03,0.52,-0.63,-0.18,-0.79,-1.59,0.25,-0.19,-0.43,-0.17,-0.16,0.15,-1.60,0.15,-0.44,-0.13,-0.04,3.47,0.14,-0.11,0.54,0.45,-0.18,0.56,0.87,5.1749e-04,-0.57,-0.11,-0.13,-0.38,-0.79,-0.57,0.38,0.45,-0.48,0.34,-0.29
company;0.62583,-0.57,0.41,0.86,-0.08,0.26,-1.48,-0.38,0.42,0.11,0.78,0.81,-0.78,-0.65,-0.09,0.20,-0.73,0.86,-0.26,-0.93,1.91,-0.17,-0.61,-0.50,-0.93,-1.67,-0.79,-0.32,-0.06,-0.12,3.29,-0.43,0.38,0.38,-0.01,-0.98,-0.53,0.39,0.89,-0.40,0.58,-0.52,0.27,-0.25,-0.30,-0.06,-1.12,0.21,-0.15,0.64
group;0.74048,-0.12,0.03,0.77,0.80,0.32,-0.77,-0.35,0.05,0.08,0.81,-0.43,-0.83,0.44,-0.76,-0.46,0.51,0.01,-0.66,-0.15,0.34,0.45,0.18,0.54,-1.47,-1.16,-0.74,-0.86,-1.27,-0.06,3.62,0.05,-0.29,-0.08,-0.32,-1.00,-0.47,-0.83,0.02,-0.09,0.21,-0.74,0.12,-0.40,1.06,-0.19,-1.12,0.07,-0.28,-0.05
china;-0.22427,0.27,0.05,1.46,0.06,-0.51,0.45,-0.32,0.57,-0.04,0.52,-0.18,0.52,-0.05,0.19,0.30,-0.45,0.38,0.33,0.42,0.98,-0.76,-0.06,-1.00,1.19,-2.39,0.24,-0.40,-0.63,-0.20,3.88,0.75,0.14,0.24,-1.01,-0.76,-0.63,0.73,-1.20,0.18,-1.21,-0.55,1.30,-0.82,0.99,0.15,-0.65,0.28,0.45,-0.85
south;-0.039674,0.47,-0.31,0.38,-0.59,-0.38,-0.68,0.15,0.46,-0.90,-0.38,-0.82,0.03,-0.93,-0.82,0.37,0.93,0.19,-1.01,0.59,-0.18,0.34,0.09,0.48,0.19,-1.97,0.77,0.16,-0.68,-0.12,3.50,-0.23,0.12,0.22,0.54,-0.74,-0.30,-0.19,-0.77,-0.13,-0.54,0.06,0.88,-1.05,0.18,0.88,-0.43,-0.49,-0.10,-0.77
american;-1.0988,0.48,-0.50,0.14,0.41,0.32,-1.45,-0.52,-0.08,-0.23,0.43,-0.14,0.12,0.71,0.03,-0.60,0.03,0.01,-0.87,-0.21,0.10,0.61,-0.44,-0.03,-0.23,-2.09,-0.85,-0.97,0.06,0.26,3.03,-0.38,-0.17,-0.47,-0.08,-0.65,-0.76,-0.30,-0.44,-0.34,-0.15,9.0824e-03,1.23,-0.35,0.87,0.31,-0.54,-0.10,-0.86,0.42
police;0.49725,-1.19,0.37,-0.08,0.69,-0.69,-0.25,0.59,0.05,-1.49,-0.07,-1.00,-0.73,-0.40,0.43,-0.46,-0.36,0.29,-0.62,-0.41,0.28,1.17,-0.21,0.62,-0.85,-2.46,0.14,0.06,-0.37,-0.65,2.74,-0.28,-0.45,-1.35,0.58,1.01,0.67,-1.17,0.36,1.18,-0.28,1.22,0.58,-0.20,0.90,-0.88,-0.85,0.12,0.85,-0.65
team;-0.62801,0.12,-0.39,0.87,0.28,-0.41,-1.42,0.80,-0.27,-0.82,1.02,0.18,-1.76,0.18,0.56,-0.38,0.61,0.51,-1.51,-0.45,-1.19,0.33,0.18,0.10,-0.35,-1.57,-0.02,-0.38,-0.60,-0.59,2.99,1.20,-0.52,-0.76,0.63,0.63,0.30,1.01,5.0781e-03,-1.03,-0.29,-0.77,-0.27,-0.18,0.04,0.32,0.01,0.85,0.03,-0.05
international;-0.1666,0.68,-0.76,0.55,-0.28,-1.00,-0.35,-0.46,0.99,0.21,0.87,0.22,-1.07,0.32,0.14,-0.10,0.57,0.06,-0.73,-0.29,1.19,0.70,-0.77,0.04,-0.84,-1.68,0.33,-0.65,-1.25,0.34,3.39,0.81,-0.48,-0.85,-0.49,-0.45,-0.17,-0.10,-0.28,0.03,0.09,0.02,1.08,-0.47,-6.9481e-03,0.48,-0.34,0.91,-0.08,-0.46
high;-0.65758,1.25,0.19,-0.67,-0.10,-0.04,-0.27,-0.48,0.39,0.37,-0.24,-0.64,0.27,-0.62,-0.52,0.29,-0.19,0.36,-0.81,-0.48,0.11,0.06,-0.38,-0.18,-0.57,-1.87,0.61,0.43,-0.09,0.17,3.48,0.02,0.60,-0.78,1.24,-0.32,-0.15,0.12,0.65,-0.27,-0.69,0.46,0.19,0.40,0.06,0.04,0.72,-0.45,-0.19,0.09
work;0.51359,0.19,-0.51,-0.86,0.01,0.10,-0.80,-0.33,-1.6119e-04,0.01,0.04,0.46,-0.47,0.11,0.39,-0.43,0.39,0.27,0.42,-0.60,0.81,0.45,-0.12,-0.22,0.64,-1.27,-0.72,-0.69,0.02,-0.23,3.79,-0.12,-0.47,-0.99,-0.21,0.50,0.02,0.80,0.19,0.28,-0.15,-0.30,0.16,-0.18,-0.03,-0.17,0.02,0.04,-0.62,0.35
our;0.3466,0.40,-0.07,-0.57,1.19,-0.51,-0.23,-0.03,0.57,-0.27,0.07,0.75,-0.72,0.07,-0.05,0.40,0.46,-0.03,0.85,-0.83,-0.25,0.64,4.8025e-03,-0.33,0.64,-1.81,-1.15,-0.13,1.10,-0.37,3.90,1.43,-0.54,-0.55,-0.49,0.12,-0.44,-0.10,-0.18,-0.21,-0.46,-0.69,0.17,0.38,-0.01,0.33,-0.37,0.31,-0.18,0.10
home;0.23302,0.45,0.26,0.03,0.56,-0.51,-1.78,0.43,1.3246e-03,0.01,-0.51,-0.54,-0.25,-0.37,0.40,0.07,-0.26,-2.7769e-03,-0.51,0.29,0.14,0.53,-0.62,0.41,-0.22,-1.62,0.29,-0.01,0.51,-0.61,3.23,0.74,0.18,0.02,0.57,0.52,0.15,0.41,0.55,-0.40,-0.18,0.20,-0.23,0.11,-7.494e-03,0.57,-0.43,-0.80,0.20,-0.19
school;-0.90629,1.24,-0.79,-1.40,-0.03,-0.25,-1.28,-0.58,-0.11,-0.56,-0.34,-0.39,-9.0178e-03,-1.06,-0.35,-0.05,-0.37,1.09,-0.19,0.44,0.45,0.72,-0.61,0.63,-0.49,-1.75,0.05,-0.52,-1.02,-0.89,3.06,0.14,-0.13,-1.39,1.21,0.40,0.41,0.27,0.98,0.02,-0.87,-0.51,-0.30,0.37,0.01,0.23,0.49,-0.56,-0.18,0.62
party;-0.5527,-0.18,0.41,0.18,0.32,0.81,-0.25,-0.03,-1.28,-0.69,-0.43,-0.84,-0.44,0.81,-0.42,-0.25,0.22,-0.24,0.74,-0.18,-0.20,-0.10,0.43,0.34,4.7003e-03,-1.87,-0.45,-0.59,-1.07,0.89,3.29,0.60,-1.83,-1.393e-03,-1.20,-0.54,-0.20,-0.01,-0.47,-0.35,-0.43,0.10,-1.53,-0.10,-0.30,1.3978e-03,-1.93,-0.42,1.01,-0.59
house;0.60137,0.28,-0.03,-0.43,0.74,0.26,-0.97,0.07,-0.57,-1.18,-1.85,-0.24,0.05,8.6155e-03,0.06,0.40,-0.07,-0.21,0.37,-0.71,1.22,0.35,-0.41,-0.21,-0.39,-1.78,-0.41,0.29,-0.41,0.02,2.74,-0.99,-0.71,-0.46,0.28,-0.07,0.30,-0.06,0.39,-0.70,-0.38,0.23,-0.49,0.14,-0.02,0.56,-0.86,-1.02,0.03,0.20
news;-0.20825,0.47,0.52,1.05,-0.10,-1.12,-1.25,-0.11,-0.07,-0.77,-0.37,-0.24,-0.39,0.42,0.98,0.12,-1.37,-0.22,-0.18,0.41,0.96,0.89,0.84,0.57,0.46,-1.72,-0.63,0.56,-0.12,0.49,3.33,0.03,0.46,-0.44,-1.19,-0.47,-0.31,-0.64,0.08,0.07,0.70,0.52,-0.12,-0.46,0.24,0.28,-0.62,1.44,0.51,0.74
long;0.46955,0.82,-0.13,-0.45,-0.07,0.45,-0.37,-0.31,0.04,-0.23,-0.65,7.6419e-03,-0.52,0.29,0.23,0.19,0.17,-0.02,-0.30,-0.27,-0.50,0.06,0.04,-0.37,0.28,-2.01,0.32,0.69,0.33,0.05,3.79,0.01,-0.02,0.40,-0.06,-0.32,-0.42,0.34,-0.40,-0.26,-0.54,0.20,0.12,0.53,-0.10,-0.57,0.26,-0.38,-0.81,-0.08
military;0.65888,-0.54,0.19,-0.30,0.40,-0.95,0.40,0.21,-0.27,-1.30,0.08,-0.43,-0.36,-0.03,-0.60,-0.36,-0.45,0.47,-0.31,0.12,0.03,0.45,-0.40,-1.14,-0.84,-2.60,-0.35,-0.50,0.34,1.04,3.40,-0.17,-1.25,-0.85,0.34,1.02,-0.22,-0.35,-1.38,0.50,-0.36,0.42,0.87,-0.62,0.20,-0.63,-0.58,0.88,-0.84,-0.03
my;-0.27279,0.77,-0.10,-0.91,0.90,-0.07,-0.47,0.44,0.16,0.07,-0.16,0.86,-0.76,-0.01,0.78,0.29,-0.74,0.20,0.65,-0.62,-0.43,1.18,0.47,9.3866e-03,1.13,-2.43,-1.56,0.49,1.09,-0.97,3.46,1.04,-0.65,0.57,-0.12,0.26,0.16,0.41,0.75,-0.77,0.03,-0.28,-0.72,0.63,0.08,-0.30,0.36,-0.73,0.04,0.26
north;0.30059,0.55,-0.04,0.02,-0.57,-0.24,-0.85,0.37,0.46,-1.16,-0.52,-0.78,0.04,-0.99,-1.08,0.65,0.71,0.48,-0.90,0.67,0.27,0.08,0.09,0.52,0.07,-2.14,0.58,0.57,-0.06,-0.43,3.41,-0.63,0.11,-0.25,0.55,-0.82,-0.39,-0.45,-0.75,0.22,-0.52,-0.25,0.67,-1.01,-0.13,0.64,-0.33,-0.10,-0.61,-0.38
security;0.52125,-3.3878e-03,0.81,0.04,0.50,-0.95,0.31,-0.45,0.52,-1.53,-0.44,-0.36,-0.80,0.25,-0.16,0.56,-0.01,-0.23,0.83,-0.03,0.45,0.70,-0.44,-0.56,-0.63,-2.05,0.55,0.04,0.15,0.53,3.48,0.24,-0.91,-1.18,-0.18,0.76,0.29,-0.72,-0.65,0.39,-0.34,0.36,0.85,-0.30,0.21,-0.32,-0.56,1.21,0.18,0.06
york;-0.31828,0.78,-0.26,-0.10,0.11,-0.39,-1.87,-0.34,-0.59,-0.10,-0.96,-0.18,-0.25,0.38,0.19,-0.39,-0.63,-0.40,-1.04,0.34,1.35,0.17,-0.57,0.23,-0.85,-1.94,0.02,0.10,0.02,-0.63,2.54,-0.15,0.69,-1.01,-0.06,-0.82,-0.12,0.14,0.60,-0.12,-0.29,0.24,0.47,-0.05,-0.26,0.72,-0.47,-0.36,-0.17,1.12
how;0.68938,-0.10,0.17,-0.37,0.75,7.8149e-04,-0.53,-0.19,-0.14,0.12,-0.28,0.70,-0.54,0.19,0.96,0.60,0.40,-0.03,0.53,-0.87,-0.20,0.56,0.65,0.14,1.01,-2.07,-1.12,5.9662e-04,0.70,-0.82,3.44,0.32,-0.35,-1.03,-0.14,-0.14,-0.41,0.33,0.19,-0.25,-0.47,0.06,0.32,0.68,0.36,0.21,0.16,0.41,-0.22,0.61
public;0.034236,0.50,-0.19,-0.26,-0.26,-2.4169e-03,-0.42,-0.29,0.21,-5.3071e-03,-0.68,-0.21,0.24,-0.45,0.07,-0.12,-0.36,0.12,0.38,-0.43,1.15,0.51,-0.50,-0.18,-0.16,-2.03,-0.02,-0.04,-0.33,0.22,3.44,0.58,0.15,-1.74,-0.81,0.04,0.19,-0.28,0.13,-0.09,-0.17,0.07,-0.19,0.71,-0.19,0.01,-1.21,0.39,0.52,0.33
court;-0.35445,-0.55,-1.02,0.59,0.57,-0.06,0.72,1.26,-0.13,-0.34,-0.45,-0.32,-0.50,-0.40,0.96,0.23,-0.60,-0.96,8.8542e-03,-0.43,0.86,0.53,-0.37,0.09,-0.95,-3.05,0.13,-0.27,-0.87,-0.47,2.58,-1.04,-0.76,-0.83,0.37,-0.58,0.94,-8.2917e-03,0.05,-0.37,-0.15,0.67,0.57,0.80,-0.70,0.28,-0.62,-0.47,0.13,-0.33
foreign;0.019228,0.45,0.14,0.18,0.60,-0.51,-0.35,-0.09,-0.85,-0.52,0.38,0.73,0.49,0.76,0.74,-0.01,0.56,-0.53,0.79,-0.01,1.21,0.14,0.25,-0.31,0.20,-1.64,0.82,-0.68,-0.76,1.08,3.61,0.51,0.18,0.30,-0.15,0.06,-0.64,0.06,-1.02,0.65,-0.24,1.11,1.59,-1.00,0.75,-0.87,-1.44,1.57,0.51,-0.16
family; 1.1636,0.90,-0.74,0.49,1.88,0.92,-1.04,0.01,-0.51,-0.68,8.3396e-03,0.50,0.51,-0.75,1.02,0.17,-0.91,0.21,0.19,0.19,4.4282e-03,0.40,-0.38,0.51,0.14,-1.46,-0.55,-0.83,0.41,0.40,2.53,-0.20,0.08,-0.10,0.52,0.02,-0.65,-0.14,0.44,-0.04,-0.23,0.17,-0.16,0.60,0.47,0.11,-0.96,-1.34,-0.02,0.04
good;-0.35586,0.52,-0.61,-0.30,0.94,-0.31,-0.59,0.12,-0.03,0.55,-0.10,0.63,-0.47,-0.07,0.38,0.08,0.82,0.22,-8.3764e-03,-0.76,-0.56,0.61,0.20,-0.04,0.87,-1.65,-0.77,0.15,0.94,-0.39,3.73,0.82,-0.14,0.01,0.21,-0.03,-0.15,0.86,0.26,-0.71,-0.03,1.8282e-03,-0.17,0.27,0.11,0.14,-0.05,0.27,0.31,0.92
university;-1.1082,1.29,-0.78,-0.45,-0.40,-0.53,-0.91,-0.48,-0.31,-0.33,0.50,-0.50,0.02,-1.17,-0.47,0.27,-0.11,1.01,-1.04,1.49,0.70,0.72,-0.10,-1.9169e-03,-0.07,-2.53,0.12,-0.86,-2.12,-0.90,2.61,-0.04,-0.09,-2.24,-0.06,8.3282e-03,-0.10,1.24,1.73,0.66,-0.11,-0.06,-0.29,0.37,-0.09,0.48,0.36,0.26,-0.54,0.03
major;0.2492,0.37,-0.12,0.93,-0.33,0.10,-0.60,0.25,0.19,-0.20,-0.17,0.01,-0.94,3.5561e-03,-0.09,-0.42,0.31,-0.22,-0.50,-0.04,0.50,-0.95,-0.38,-0.19,-0.57,-1.33,-0.53,-0.80,-0.09,0.66,3.81,0.11,0.63,-0.45,0.25,0.25,-0.20,0.04,-0.18,0.56,-0.89,0.19,-0.27,-0.34,0.20,0.27,-0.59,0.60,-0.12,0.15
